	D1-35	D10-7	D11-1	D2-1-6	D2-2	D3-D-27	D3-K-57	D4-185	D5-8	D6-5	D7-157	D8-8	D9-4
OG0033497	genemark-SEQ_1630126-processed-gene-0.2-mRNA-1												
OG0033498	augustus_masked-SEQ_1630541-processed-gene-0.0-mRNA-1												
OG0033499	genemark-SEQ_1607114-processed-gene-0.2-mRNA-1												
OG0033500	genemark-SEQ_1688240-processed-gene-0.3-mRNA-1												
OG0033501	genemark-SEQ_1686440-processed-gene-0.1-mRNA-1												
OG0033502	genemark-SEQ_1689289-processed-gene-0.2-mRNA-1												
OG0033503	genemark-SEQ_1688935-processed-gene-0.4-mRNA-1												
OG0033504	genemark-SEQ_1691295-processed-gene-0.1-mRNA-1												
OG0033505	genemark-SEQ_1689728-processed-gene-0.0-mRNA-1												
OG0033506	augustus_masked-SEQ_1690783-processed-gene-0.0-mRNA-1												
OG0033507	maker-SEQ_1691237-augustus-gene-0.7-mRNA-1												
OG0033508	genemark-SEQ_1690233-processed-gene-0.1-mRNA-1												
OG0033509	genemark-SEQ_1691003-processed-gene-0.0-mRNA-1												
OG0033510	maker-SEQ_1692363-augustus-gene-0.2-mRNA-1												
OG0033511	maker-SEQ_1693636-augustus-gene-0.3-mRNA-1												
OG0033512	maker-SEQ_1695409-augustus-gene-0.2-mRNA-1												
OG0033513	genemark-SEQ_1695304-processed-gene-0.3-mRNA-1												
OG0033514	genemark-SEQ_1695249-processed-gene-0.1-mRNA-1												
OG0033515	genemark-SEQ_1697196-processed-gene-0.1-mRNA-1												
OG0033516	maker-SEQ_1697082-augustus-gene-0.3-mRNA-1												
OG0033517	maker-SEQ_1701094-augustus-gene-0.4-mRNA-1												
OG0033518	genemark-SEQ_1701058-processed-gene-0.3-mRNA-1												
OG0033519	maker-SEQ_1701159-augustus-gene-0.2-mRNA-1												
OG0033520	genemark-SEQ_1701810-processed-gene-0.1-mRNA-1												
OG0033521	augustus_masked-SEQ_1701914-processed-gene-0.1-mRNA-1												
OG0033522	genemark-SEQ_1702568-processed-gene-0.1-mRNA-1												
OG0033523	genemark-SEQ_1702260-processed-gene-0.2-mRNA-1												
OG0033524	genemark-SEQ_1702436-processed-gene-0.2-mRNA-1												
OG0033525	maker-SEQ_1702353-augustus-gene-0.4-mRNA-1												
OG0033526	genemark-SEQ_1702760-processed-gene-0.2-mRNA-1												
OG0033527	genemark-SEQ_1703136-processed-gene-0.0-mRNA-1												
OG0033528	genemark-SEQ_1702956-processed-gene-0.2-mRNA-1												
OG0033529	augustus_masked-SEQ_1702840-processed-gene-0.0-mRNA-1												
OG0033530	genemark-SEQ_1703115-processed-gene-0.0-mRNA-1												
OG0033531	maker-SEQ_1704537-augustus-gene-0.3-mRNA-1												
OG0033532	maker-SEQ_1704486-augustus-gene-0.4-mRNA-1												
OG0033533	genemark-SEQ_1704535-processed-gene-0.2-mRNA-1												
OG0033534	genemark-SEQ_1704207-processed-gene-0.0-mRNA-1												
OG0033535	maker-SEQ_1704663-augustus-gene-0.7-mRNA-1												
OG0033536	genemark-SEQ_1705473-processed-gene-0.0-mRNA-1												
OG0033537	genemark-SEQ_1704848-processed-gene-0.0-mRNA-1												
OG0033538	genemark-SEQ_1706196-processed-gene-0.0-mRNA-1												
OG0033539	maker-SEQ_1705848-augustus-gene-0.6-mRNA-1												
OG0033540	maker-SEQ_1706295-augustus-gene-0.4-mRNA-1												
OG0033541	augustus_masked-SEQ_1705877-processed-gene-0.5-mRNA-1												
OG0033542	genemark-SEQ_1706823-processed-gene-0.2-mRNA-1												
OG0033543	genemark-SEQ_1707260-processed-gene-0.0-mRNA-1												
OG0033544	genemark-SEQ_1707870-processed-gene-0.3-mRNA-1												
OG0033545	genemark-SEQ_1708022-processed-gene-0.1-mRNA-1												
OG0033546	maker-SEQ_1707777-augustus-gene-0.2-mRNA-1												
OG0033547	maker-SEQ_1708600-augustus-gene-0.3-mRNA-1												
OG0033548	genemark-SEQ_1708853-processed-gene-0.1-mRNA-1												
OG0033549	maker-SEQ_1708503-augustus-gene-0.7-mRNA-1												
OG0033550	augustus_masked-SEQ_1708530-processed-gene-0.0-mRNA-1												
OG0033551	genemark-SEQ_1708814-processed-gene-0.0-mRNA-1												
OG0033552	genemark-SEQ_1709692-processed-gene-0.1-mRNA-1												
OG0033553	genemark-SEQ_1709779-processed-gene-0.1-mRNA-1												
OG0033554	genemark-SEQ_1710017-processed-gene-0.1-mRNA-1												
OG0033555	maker-SEQ_1711056-augustus-gene-0.9-mRNA-1												
OG0033556	genemark-SEQ_1710921-processed-gene-0.3-mRNA-1												
OG0033557	genemark-SEQ_1711849-processed-gene-0.0-mRNA-1												
OG0033558	augustus_masked-SEQ_1711720-processed-gene-0.0-mRNA-1												
OG0033559	genemark-SEQ_1712591-processed-gene-0.1-mRNA-1												
OG0033560	genemark-SEQ_1712724-processed-gene-0.2-mRNA-1												
OG0033561	genemark-SEQ_1712477-processed-gene-0.1-mRNA-1												
OG0033562	genemark-SEQ_1712458-processed-gene-0.0-mRNA-1												
OG0033563	maker-SEQ_1712586-augustus-gene-0.11-mRNA-1												
OG0033564	augustus_masked-SEQ_1712406-processed-gene-0.2-mRNA-1												
OG0033565	genemark-SEQ_1713570-processed-gene-0.1-mRNA-1												
OG0033566	genemark-SEQ_1713221-processed-gene-0.1-mRNA-1												
OG0033567	genemark-SEQ_1713609-processed-gene-0.2-mRNA-1												
OG0033568	genemark-SEQ_1713892-processed-gene-0.4-mRNA-1												
OG0033569	genemark-SEQ_1714710-processed-gene-0.0-mRNA-1												
OG0033570	augustus_masked-SEQ_1714107-processed-gene-0.0-mRNA-1												
OG0033571	genemark-SEQ_1714374-processed-gene-0.0-mRNA-1												
OG0033572	augustus_masked-SEQ_1715376-processed-gene-0.0-mRNA-1												
OG0033573	genemark-SEQ_1715202-processed-gene-0.1-mRNA-1												
OG0033574	genemark-SEQ_1716794-processed-gene-0.1-mRNA-1												
OG0033575	genemark-SEQ_1716813-processed-gene-0.1-mRNA-1												
OG0033576	genemark-SEQ_1716788-processed-gene-0.1-mRNA-1												
OG0033577	genemark-SEQ_1716570-processed-gene-0.0-mRNA-1												
OG0033578	maker-SEQ_1717788-augustus-gene-0.8-mRNA-1												
OG0033579	maker-SEQ_1717645-augustus-gene-0.3-mRNA-1												
OG0033580	augustus_masked-SEQ_1716961-processed-gene-0.1-mRNA-1												
OG0033581	genemark-SEQ_1717466-processed-gene-0.1-mRNA-1												
OG0033582	augustus_masked-SEQ_1717992-processed-gene-0.0-mRNA-1												
OG0033583	maker-SEQ_1718624-augustus-gene-0.4-mRNA-1												
OG0033584	genemark-SEQ_1718628-processed-gene-0.0-mRNA-1												
OG0033585	genemark-SEQ_1718232-processed-gene-0.0-mRNA-1												
OG0033586	maker-SEQ_1719633-augustus-gene-0.8-mRNA-1												
OG0033587	augustus_masked-SEQ_1719491-processed-gene-0.0-mRNA-1												
OG0033588	genemark-SEQ_1720457-processed-gene-0.2-mRNA-1												
OG0033589	maker-SEQ_1719781-augustus-gene-0.2-mRNA-1												
OG0033590	genemark-SEQ_1719846-processed-gene-0.0-mRNA-1												
OG0033591	genemark-SEQ_1719841-processed-gene-0.0-mRNA-1												
OG0033592	genemark-SEQ_1719841-processed-gene-0.1-mRNA-1												
OG0033593	genemark-SEQ_1720265-processed-gene-0.2-mRNA-1												
OG0033594	genemark-SEQ_1720976-processed-gene-0.0-mRNA-1												
OG0033595	genemark-SEQ_1721042-processed-gene-0.2-mRNA-1												
OG0033596	maker-SEQ_1721451-augustus-gene-0.5-mRNA-1												
OG0033597	genemark-SEQ_1722428-processed-gene-0.4-mRNA-1												
OG0033598	genemark-SEQ_1722129-processed-gene-0.2-mRNA-1												
OG0033599	genemark-SEQ_1722232-processed-gene-0.0-mRNA-1												
OG0033600	genemark-SEQ_1721731-processed-gene-0.0-mRNA-1												
OG0033601	augustus_masked-SEQ_1723351-processed-gene-0.0-mRNA-1												
OG0033602	genemark-SEQ_1723487-processed-gene-0.2-mRNA-1												
OG0033603	maker-SEQ_1722662-augustus-gene-0.5-mRNA-1												
OG0033604	augustus_masked-SEQ_1722981-processed-gene-0.1-mRNA-1												
OG0033605	maker-SEQ_1724446-augustus-gene-0.2-mRNA-1												
OG0033606	maker-SEQ_1724689-augustus-gene-0.6-mRNA-1												
OG0033607	genemark-SEQ_1724741-processed-gene-0.2-mRNA-1												
OG0033608	genemark-SEQ_1724731-processed-gene-0.1-mRNA-1												
OG0033609	maker-SEQ_1725827-augustus-gene-0.3-mRNA-1												
OG0033610	augustus_masked-SEQ_1726394-processed-gene-0.4-mRNA-1												
OG0033611	genemark-SEQ_1726633-processed-gene-0.1-mRNA-1												
OG0033612	maker-SEQ_1727323-augustus-gene-0.5-mRNA-1												
OG0033613	augustus_masked-SEQ_1726455-processed-gene-0.1-mRNA-1												
OG0033614	augustus_masked-SEQ_1726589-processed-gene-0.2-mRNA-1												
OG0033615	maker-SEQ_1728273-augustus-gene-0.2-mRNA-1												
OG0033616	maker-SEQ_1729067-augustus-gene-0.3-mRNA-1												
OG0033617	genemark-SEQ_1728279-processed-gene-0.1-mRNA-1												
OG0033618	genemark-SEQ_1728291-processed-gene-0.1-mRNA-1												
OG0033619	genemark-SEQ_1729896-processed-gene-0.1-mRNA-1												
OG0033620	genemark-SEQ_1729864-processed-gene-0.0-mRNA-1												
OG0033621	genemark-SEQ_1729875-processed-gene-0.2-mRNA-1												
OG0033622	genemark-SEQ_1729617-processed-gene-0.2-mRNA-1												
OG0033623	augustus_masked-SEQ_1730218-processed-gene-0.3-mRNA-1												
OG0033624	genemark-SEQ_1730905-processed-gene-0.0-mRNA-1												
OG0033625	genemark-SEQ_1730610-processed-gene-0.1-mRNA-1												
OG0033626	genemark-SEQ_1730472-processed-gene-0.1-mRNA-1												
OG0033627	maker-SEQ_1730323-augustus-gene-0.4-mRNA-1												
OG0033628	genemark-SEQ_1731235-processed-gene-0.1-mRNA-1												
OG0033629	genemark-SEQ_1731706-processed-gene-0.3-mRNA-1												
OG0033630	maker-SEQ_1731967-augustus-gene-0.4-mRNA-1												
OG0033631	genemark-SEQ_1732888-processed-gene-0.2-mRNA-1												
OG0033632	genemark-SEQ_1732558-processed-gene-0.1-mRNA-1												
OG0033633	genemark-SEQ_1732415-processed-gene-0.2-mRNA-1												
OG0033634	augustus_masked-SEQ_1732174-processed-gene-0.0-mRNA-1												
OG0033635	genemark-SEQ_1732896-processed-gene-0.2-mRNA-1												
OG0033636	augustus_masked-SEQ_1733750-processed-gene-0.0-mRNA-1												
OG0033637	genemark-SEQ_1733401-processed-gene-0.2-mRNA-1												
OG0033638	maker-SEQ_1734758-augustus-gene-0.2-mRNA-1												
OG0033639	maker-SEQ_1734136-augustus-gene-0.4-mRNA-1												
OG0033640	genemark-SEQ_1734742-processed-gene-0.0-mRNA-1												
OG0033641	maker-SEQ_1735343-augustus-gene-0.2-mRNA-1												
OG0033642	genemark-SEQ_1735610-processed-gene-0.1-mRNA-1												
OG0033643	augustus_masked-SEQ_1736440-processed-gene-0.0-mRNA-1												
OG0033644	genemark-SEQ_1736333-processed-gene-0.4-mRNA-1												
OG0033645	augustus_masked-SEQ_1736314-processed-gene-0.2-mRNA-1												
OG0033646	genemark-SEQ_1736558-processed-gene-0.2-mRNA-1												
OG0033647	maker-SEQ_1736206-augustus-gene-0.2-mRNA-1												
OG0033648	genemark-SEQ_1737610-processed-gene-0.0-mRNA-1												
OG0033649	maker-SEQ_1736958-augustus-gene-0.5-mRNA-1												
OG0033650	maker-SEQ_1737550-augustus-gene-0.3-mRNA-1												
OG0033651	maker-SEQ_1737588-augustus-gene-0.4-mRNA-1												
OG0033652	genemark-SEQ_1738106-processed-gene-0.1-mRNA-1												
OG0033653	augustus_masked-SEQ_1738592-processed-gene-0.0-mRNA-1												
OG0033654	genemark-SEQ_1739395-processed-gene-0.1-mRNA-1												
OG0033655	maker-SEQ_1739169-augustus-gene-0.7-mRNA-1												
OG0033656	maker-SEQ_1742415-augustus-gene-0.5-mRNA-1												
OG0033657	genemark-SEQ_1741868-processed-gene-0.0-mRNA-1												
OG0033658	genemark-SEQ_1741927-processed-gene-0.3-mRNA-1												
OG0033659	genemark-SEQ_1743179-processed-gene-0.3-mRNA-1												
OG0033660	genemark-SEQ_1743360-processed-gene-0.4-mRNA-1												
OG0033661	augustus_masked-SEQ_1742673-processed-gene-0.0-mRNA-1												
OG0033662	augustus_masked-SEQ_1742537-processed-gene-0.5-mRNA-1												
OG0033663	augustus_masked-SEQ_1743930-processed-gene-0.0-mRNA-1												
OG0033664	maker-SEQ_1743875-augustus-gene-0.2-mRNA-1												
OG0033665	maker-SEQ_1745029-augustus-gene-0.2-mRNA-1												
OG0033666	maker-SEQ_1745453-augustus-gene-0.5-mRNA-1												
OG0033667	genemark-SEQ_1746479-processed-gene-0.1-mRNA-1												
OG0033668	genemark-SEQ_1746774-processed-gene-0.1-mRNA-1												
OG0033669	genemark-SEQ_1746545-processed-gene-0.0-mRNA-1												
OG0033670	genemark-SEQ_1747661-processed-gene-0.0-mRNA-1												
OG0033671	maker-SEQ_1747208-augustus-gene-0.4-mRNA-1												
OG0033672	augustus_masked-SEQ_1747220-processed-gene-0.2-mRNA-1												
OG0033673	augustus_masked-SEQ_1747270-processed-gene-0.0-mRNA-1												
OG0033674	maker-SEQ_1748111-augustus-gene-0.2-mRNA-1												
OG0033675	augustus_masked-SEQ_1748040-processed-gene-0.1-mRNA-1												
OG0033676	genemark-SEQ_1747474-processed-gene-0.2-mRNA-1												
OG0033677	maker-SEQ_1748030-augustus-gene-0.2-mRNA-1												
OG0033678	genemark-SEQ_1747565-processed-gene-0.2-mRNA-1												
OG0033679	maker-SEQ_1748646-augustus-gene-0.7-mRNA-1												
OG0033680	maker-SEQ_1748562-augustus-gene-0.4-mRNA-1												
OG0033681	genemark-SEQ_1749171-processed-gene-0.2-mRNA-1												
OG0033682	genemark-SEQ_1749958-processed-gene-0.0-mRNA-1												
OG0033683	genemark-SEQ_1750754-processed-gene-0.2-mRNA-1												
OG0033684	maker-SEQ_1750295-augustus-gene-0.4-mRNA-1												
OG0033685	maker-SEQ_1750080-augustus-gene-0.6-mRNA-1												
OG0033686	augustus_masked-SEQ_1750060-processed-gene-0.0-mRNA-1												
OG0033687	maker-SEQ_1750302-augustus-gene-0.8-mRNA-1												
OG0033688	genemark-SEQ_1751257-processed-gene-0.3-mRNA-1												
OG0033689	genemark-SEQ_1752781-processed-gene-0.2-mRNA-1												
OG0033690	genemark-SEQ_1752405-processed-gene-0.2-mRNA-1												
OG0033691	genemark-SEQ_1752795-processed-gene-0.0-mRNA-1												
OG0033692	genemark-SEQ_1752087-processed-gene-0.0-mRNA-1												
OG0033693	genemark-SEQ_1752865-processed-gene-0.6-mRNA-1												
OG0033694	augustus_masked-SEQ_1753700-processed-gene-0.1-mRNA-1												
OG0033695	augustus_masked-SEQ_1752935-processed-gene-0.4-mRNA-1												
OG0033696	genemark-SEQ_1753264-processed-gene-0.2-mRNA-1												
OG0033697	genemark-SEQ_1753897-processed-gene-0.1-mRNA-1												
OG0033698	augustus_masked-SEQ_1754428-processed-gene-0.0-mRNA-1												
OG0033699	maker-SEQ_1754401-augustus-gene-0.2-mRNA-1												
OG0033700	maker-SEQ_1755105-augustus-gene-0.5-mRNA-1												
OG0033701	genemark-SEQ_1755412-processed-gene-0.0-mRNA-1												
OG0033702	augustus_masked-SEQ_1754978-processed-gene-0.0-mRNA-1												
OG0033703	genemark-SEQ_1755256-processed-gene-0.2-mRNA-1												
OG0033704	maker-SEQ_1755452-augustus-gene-0.4-mRNA-1												
OG0033705	genemark-SEQ_1755135-processed-gene-0.0-mRNA-1												
OG0033706	genemark-SEQ_1755836-processed-gene-0.1-mRNA-1												
OG0033707	maker-SEQ_1756778-augustus-gene-0.4-mRNA-1												
OG0033708	augustus_masked-SEQ_1757452-processed-gene-0.1-mRNA-1												
OG0033709	genemark-SEQ_1756668-processed-gene-0.2-mRNA-1												
OG0033710	genemark-SEQ_1757317-processed-gene-0.0-mRNA-1												
OG0033711	genemark-SEQ_1757264-processed-gene-0.0-mRNA-1												
OG0033712	maker-SEQ_1757488-augustus-gene-0.3-mRNA-1												
OG0033713	genemark-SEQ_1758030-processed-gene-0.1-mRNA-1												
OG0033714	augustus_masked-SEQ_1758174-processed-gene-0.0-mRNA-1												
OG0033715	augustus_masked-SEQ_1757965-processed-gene-0.0-mRNA-1												
OG0033716	genemark-SEQ_1758505-processed-gene-0.1-mRNA-1												
OG0033717	maker-SEQ_1758122-augustus-gene-0.3-mRNA-1												
OG0033718	maker-SEQ_1757961-augustus-gene-0.3-mRNA-1												
OG0033719	maker-SEQ_1758035-augustus-gene-0.5-mRNA-1												
OG0033720	maker-SEQ_1758542-augustus-gene-0.5-mRNA-1												
OG0033721	genemark-SEQ_1758655-processed-gene-0.5-mRNA-1												
OG0033722	genemark-SEQ_1758655-processed-gene-0.7-mRNA-1												
OG0033723	maker-SEQ_1760357-augustus-gene-0.1-mRNA-1												
OG0033724	augustus_masked-SEQ_1759687-processed-gene-0.2-mRNA-1												
OG0033725	genemark-SEQ_1759515-processed-gene-0.0-mRNA-1												
OG0033726	genemark-SEQ_1759602-processed-gene-0.9-mRNA-1												
OG0033727	maker-SEQ_1759900-augustus-gene-0.4-mRNA-1												
OG0033728	genemark-SEQ_1759918-processed-gene-0.2-mRNA-1												
OG0033729	genemark-SEQ_1759459-processed-gene-0.5-mRNA-1												
OG0033730	maker-SEQ_1759546-augustus-gene-0.7-mRNA-1												
OG0033731	genemark-SEQ_1761179-processed-gene-0.1-mRNA-1												
OG0033732	genemark-SEQ_1761186-processed-gene-0.1-mRNA-1												
OG0033733	genemark-SEQ_1761153-processed-gene-0.2-mRNA-1												
OG0033734	maker-SEQ_1761315-augustus-gene-0.3-mRNA-1												
OG0033735	maker-SEQ_1761032-augustus-gene-0.2-mRNA-1												
OG0033736	maker-SEQ_1760749-augustus-gene-0.3-mRNA-1												
OG0033737	genemark-SEQ_1760770-processed-gene-0.2-mRNA-1												
OG0033738	genemark-SEQ_1761946-processed-gene-0.2-mRNA-1												
OG0033739	maker-SEQ_1761595-augustus-gene-0.5-mRNA-1												
OG0033740	maker-SEQ_1763142-augustus-gene-0.5-mRNA-1												
OG0033741	genemark-SEQ_1763082-processed-gene-0.9-mRNA-1												
OG0033742	genemark-SEQ_1762786-processed-gene-0.1-mRNA-1												
OG0033743	augustus_masked-SEQ_1762404-processed-gene-0.0-mRNA-1												
OG0033744	maker-SEQ_1763216-augustus-gene-0.11-mRNA-1												
OG0033745	genemark-SEQ_1762565-processed-gene-0.2-mRNA-1												
OG0033746	maker-SEQ_1764001-augustus-gene-0.3-mRNA-1												
OG0033747	maker-SEQ_1764176-augustus-gene-0.4-mRNA-1												
OG0033748	maker-SEQ_1764038-augustus-gene-0.5-mRNA-1												
OG0033749	augustus_masked-SEQ_1763832-processed-gene-0.2-mRNA-1												
OG0033750	augustus_masked-SEQ_1763389-processed-gene-0.1-mRNA-1												
OG0033751	maker-SEQ_1763752-augustus-gene-0.8-mRNA-1												
OG0033752	genemark-SEQ_1763466-processed-gene-0.3-mRNA-1												
OG0033753	genemark-SEQ_1763516-processed-gene-0.5-mRNA-1												
OG0033754	genemark-SEQ_1763516-processed-gene-0.6-mRNA-1												
OG0033755	maker-SEQ_1764765-augustus-gene-0.3-mRNA-1												
OG0033756	genemark-SEQ_1764452-processed-gene-0.0-mRNA-1												
OG0033757	maker-SEQ_1764876-augustus-gene-0.6-mRNA-1												
OG0033758	genemark-SEQ_1764898-processed-gene-0.3-mRNA-1												
OG0033759	genemark-SEQ_1764708-processed-gene-0.5-mRNA-1												
OG0033760	maker-SEQ_1765721-augustus-gene-0.5-mRNA-1												
OG0033761	maker-SEQ_1765258-augustus-gene-0.9-mRNA-1												
OG0033762	genemark-SEQ_1766103-processed-gene-0.1-mRNA-1												
OG0033763	genemark-SEQ_1766077-processed-gene-0.2-mRNA-1												
OG0033764	maker-SEQ_1766168-augustus-gene-0.3-mRNA-1												
OG0033765	genemark-SEQ_1766263-processed-gene-0.2-mRNA-1												
OG0033766	maker-SEQ_1767380-augustus-gene-0.5-mRNA-1												
OG0033767	genemark-SEQ_1767796-processed-gene-0.4-mRNA-1												
OG0033768	genemark-SEQ_1767092-processed-gene-0.6-mRNA-1												
OG0033769	maker-SEQ_1767957-augustus-gene-0.7-mRNA-1												
OG0033770		genemark-SEQ_126198-processed-gene-0.2-mRNA-1											
OG0033771		genemark-SEQ_102902-processed-gene-0.1-mRNA-1											
OG0033772		maker-SEQ_3289-augustus-gene-0.1-mRNA-1											
OG0033773		maker-SEQ_179054-augustus-gene-0.2-mRNA-1											
OG0033774		maker-SEQ_223743-augustus-gene-0.7-mRNA-1											
OG0033775		genemark-SEQ_210525-processed-gene-0.1-mRNA-1											
OG0033776		genemark-SEQ_204039-processed-gene-0.1-mRNA-1											
OG0033777		maker-SEQ_218377-augustus-gene-0.2-mRNA-1											
OG0033778		maker-SEQ_193043-augustus-gene-0.1-mRNA-1											
OG0033779		augustus_masked-SEQ_229364-processed-gene-0.2-mRNA-1											
OG0033780		genemark-SEQ_194725-processed-gene-0.1-mRNA-1											
OG0033781		genemark-SEQ_198350-processed-gene-0.0-mRNA-1											
OG0033782		genemark-SEQ_403138-processed-gene-0.1-mRNA-1											
OG0033783		genemark-SEQ_452933-processed-gene-0.0-mRNA-1											
OG0033784		genemark-SEQ_385863-processed-gene-0.0-mRNA-1											
OG0033785		genemark-SEQ_385486-processed-gene-0.1-mRNA-1											
OG0033786		maker-SEQ_554265-augustus-gene-0.8-mRNA-1											
OG0033787		genemark-SEQ_551946-processed-gene-0.0-mRNA-1											
OG0033788		maker-SEQ_554947-augustus-gene-0.2-mRNA-1											
OG0033789		maker-SEQ_555715-augustus-gene-0.2-mRNA-1											
OG0033790		genemark-SEQ_557197-processed-gene-0.2-mRNA-1											
OG0033791		augustus_masked-SEQ_557965-processed-gene-0.1-mRNA-1											
OG0033792		genemark-SEQ_555515-processed-gene-0.1-mRNA-1											
OG0033793		augustus_masked-SEQ_560795-processed-gene-0.0-mRNA-1											
OG0033794		genemark-SEQ_558974-processed-gene-0.1-mRNA-1											
OG0033795		augustus_masked-SEQ_559881-processed-gene-0.0-mRNA-1											
OG0033796		genemark-SEQ_558653-processed-gene-0.2-mRNA-1											
OG0033797		genemark-SEQ_563585-processed-gene-0.2-mRNA-1											
OG0033798		genemark-SEQ_562208-processed-gene-0.1-mRNA-1											
OG0033799		genemark-SEQ_564474-processed-gene-0.0-mRNA-1											
OG0033800		genemark-SEQ_563937-processed-gene-0.0-mRNA-1											
OG0033801		genemark-SEQ_563463-processed-gene-0.0-mRNA-1											
OG0033802		genemark-SEQ_563436-processed-gene-0.1-mRNA-1											
OG0033803		genemark-SEQ_563744-processed-gene-0.0-mRNA-1											
OG0033804		maker-SEQ_565452-augustus-gene-0.5-mRNA-1											
OG0033805		genemark-SEQ_568232-processed-gene-0.1-mRNA-1											
OG0033806		genemark-SEQ_568655-processed-gene-0.1-mRNA-1											
OG0033807		augustus_masked-SEQ_571733-processed-gene-0.0-mRNA-1											
OG0033808		genemark-SEQ_571042-processed-gene-0.1-mRNA-1											
OG0033809		genemark-SEQ_574011-processed-gene-0.0-mRNA-1											
OG0033810		maker-SEQ_572652-augustus-gene-0.1-mRNA-1											
OG0033811		augustus_masked-SEQ_573179-processed-gene-0.0-mRNA-1											
OG0033812		genemark-SEQ_571667-processed-gene-0.1-mRNA-1											
