	D1-35	D10-7	D11-1	D2-1-6	D2-2	D3-D-27	D3-K-57	D4-185	D5-8	D6-5	D7-157	D8-8	D9-4
maker-SEQ_1164-augustus-gene-0.5-mRNA-1	maker-SEQ_580883-augustus-gene-0.16-mRNA-1	maker-SEQ_1763804-augustus-gene-0.6-mRNA-1	maker-SEQ_3528927-augustus-gene-0.4-mRNA-1	maker-SEQ_2372055-augustus-gene-0.4-mRNA-1	maker-SEQ_1547075-augustus-gene-0.5-mRNA-1	maker-SEQ_949672-augustus-gene-0.5-mRNA-1	genemark-SEQ_3036196-processed-gene-0.3-mRNA-1	maker-SEQ_4587753-augustus-gene-0.4-mRNA-1	maker-SEQ_114626-augustus-gene-0.6-mRNA-1	maker-SEQ_3189183-augustus-gene-0.5-mRNA-1	maker-SEQ_1477151-augustus-gene-0.4-mRNA-1	maker-SEQ_3575218-augustus-gene-0.4-mRNA-1
maker-SEQ_32859-augustus-gene-0.2-mRNA-1	maker-SEQ_614959-augustus-gene-0.11-mRNA-1	maker-SEQ_1729601-augustus-gene-0.2-mRNA-1	maker-SEQ_591865-augustus-gene-0.2-mRNA-1	genemark-SEQ_2233860-processed-gene-0.1-mRNA-1	maker-SEQ_421421-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1334317-processed-gene-0.0-mRNA-1	maker-SEQ_3048910-augustus-gene-0.4-mRNA-1	maker-SEQ_2014239-augustus-gene-0.2-mRNA-1	maker-SEQ_950734-augustus-gene-0.2-mRNA-1	maker-SEQ_2953448-augustus-gene-0.2-mRNA-1	maker-SEQ_1471846-augustus-gene-0.2-mRNA-1	maker-SEQ_3014767-augustus-gene-0.2-mRNA-1
genemark-SEQ_68881-processed-gene-0.1-mRNA-1	genemark-SEQ_598135-processed-gene-0.1-mRNA-1	maker-SEQ_1757309-augustus-gene-0.3-mRNA-1	genemark-SEQ_3502192-processed-gene-0.1-mRNA-1	genemark-SEQ_1456088-processed-gene-0.0-mRNA-1	genemark-SEQ_1565655-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1622748-processed-gene-0.0-mRNA-1	genemark-SEQ_3104143-processed-gene-0.3-mRNA-1	maker-SEQ_4860694-augustus-gene-0.2-mRNA-1	maker-SEQ_770331-augustus-gene-0.2-mRNA-1	genemark-SEQ_3216687-processed-gene-0.1-mRNA-1	genemark-SEQ_1530230-processed-gene-0.0-mRNA-1	genemark-SEQ_3564089-processed-gene-0.2-mRNA-1
augustus_masked-SEQ_14896-processed-gene-0.0-mRNA-1	genemark-SEQ_582715-processed-gene-0.17-mRNA-1	augustus_masked-SEQ_594688-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2170934-processed-gene-0.0-mRNA-1	genemark-SEQ_2510259-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1265553-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1484702-processed-gene-0.0-mRNA-1	genemark-SEQ_3008395-processed-gene-0.3-mRNA-1	genemark-SEQ_831662-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_507193-processed-gene-0.1-mRNA-1	genemark-SEQ_3210561-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_878750-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2249524-processed-gene-0.0-mRNA-1
augustus_masked-SEQ_29351-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_612490-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1176331-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_3431575-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2574708-processed-gene-0.5-mRNA-1	maker-SEQ_1558687-augustus-gene-0.9-mRNA-1	augustus_masked-SEQ_1564988-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_2463495-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3402587-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1661190-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1090547-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1509924-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_3624942-processed-gene-0.3-mRNA-1
genemark-SEQ_1795-processed-gene-0.2-mRNA-1	genemark-SEQ_606605-processed-gene-0.10-mRNA-1	genemark-SEQ_1777609-processed-gene-0.1-mRNA-1	genemark-SEQ_25137-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_378560-processed-gene-0.2-mRNA-1	genemark-SEQ_1604102-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1104837-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3101657-processed-gene-0.0-mRNA-1	genemark-SEQ_735729-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_751890-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_222852-processed-gene-0.3-mRNA-1	genemark-SEQ_1472787-processed-gene-0.1-mRNA-1	genemark-SEQ_3599677-processed-gene-0.1-mRNA-1
maker-SEQ_59947-augustus-gene-0.6-mRNA-1	maker-SEQ_611542-augustus-gene-0.2-mRNA-1	maker-SEQ_1736743-augustus-gene-0.2-mRNA-1	maker-SEQ_3534111-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_2516326-processed-gene-0.1-mRNA-1	maker-SEQ_1534851-augustus-gene-0.2-mRNA-1	maker-SEQ_1562298-augustus-gene-0.2-mRNA-1	maker-SEQ_177433-augustus-gene-0.2-mRNA-1	maker-SEQ_3979694-augustus-gene-0.2-mRNA-1	maker-SEQ_1611153-augustus-gene-0.2-mRNA-1	genemark-SEQ_234132-processed-gene-0.0-mRNA-1	genemark-SEQ_1513535-processed-gene-0.2-mRNA-1	maker-SEQ_3628083-augustus-gene-0.2-mRNA-1
genemark-SEQ_41782-processed-gene-0.3-mRNA-1	genemark-SEQ_617572-processed-gene-0.15-mRNA-1	genemark-SEQ_1748619-processed-gene-0.1-mRNA-1	genemark-SEQ_3497134-processed-gene-0.3-mRNA-1	genemark-SEQ_474960-processed-gene-0.0-mRNA-1	genemark-SEQ_1573816-processed-gene-0.3-mRNA-1	genemark-SEQ_1601949-processed-gene-0.7-mRNA-1	genemark-SEQ_3061303-processed-gene-0.2-mRNA-1	genemark-SEQ_4868728-processed-gene-0.3-mRNA-1	genemark-SEQ_1605503-processed-gene-0.0-mRNA-1	genemark-SEQ_516428-processed-gene-0.2-mRNA-1	genemark-SEQ_1472379-processed-gene-0.3-mRNA-1	genemark-SEQ_3598103-processed-gene-0.3-mRNA-1
maker-SEQ_41782-augustus-gene-0.8-mRNA-1	maker-SEQ_617572-augustus-gene-0.18-mRNA-1	maker-SEQ_1748619-augustus-gene-0.9-mRNA-1	maker-SEQ_3497134-augustus-gene-0.8-mRNA-1	maker-SEQ_474960-augustus-gene-0.8-mRNA-1	maker-SEQ_1573816-augustus-gene-0.9-mRNA-1	maker-SEQ_1601949-augustus-gene-0.9-mRNA-1	maker-SEQ_3084244-augustus-gene-0.4-mRNA-1	maker-SEQ_4868728-augustus-gene-0.8-mRNA-1	maker-SEQ_1605503-augustus-gene-0.8-mRNA-1	maker-SEQ_516428-augustus-gene-0.6-mRNA-1	maker-SEQ_1472379-augustus-gene-0.9-mRNA-1	genemark-SEQ_3598103-processed-gene-0.5-mRNA-1
augustus_masked-SEQ_53006-processed-gene-0.2-mRNA-1	maker-SEQ_596957-augustus-gene-0.5-mRNA-1	augustus_masked-SEQ_1766923-processed-gene-0.2-mRNA-1	maker-SEQ_3528613-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1267570-processed-gene-0.1-mRNA-1	maker-SEQ_1584347-augustus-gene-0.4-mRNA-1	augustus_masked-SEQ_1629293-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3043413-processed-gene-0.0-mRNA-1	maker-SEQ_2460879-augustus-gene-0.3-mRNA-1	genemark-SEQ_1613961-processed-gene-0.1-mRNA-1	maker-SEQ_3214407-augustus-gene-0.2-mRNA-1	maker-SEQ_1503764-augustus-gene-0.3-mRNA-1	genemark-SEQ_3625753-processed-gene-0.1-mRNA-1
genemark-SEQ_651-processed-gene-0.1-mRNA-1	maker-SEQ_611799-augustus-gene-0.6-mRNA-1	genemark-SEQ_1724552-processed-gene-0.2-mRNA-1	genemark-SEQ_3528039-processed-gene-0.1-mRNA-1	genemark-SEQ_936551-processed-gene-0.0-mRNA-1	maker-SEQ_1547779-augustus-gene-0.3-mRNA-1	maker-SEQ_1020303-augustus-gene-0.2-mRNA-1	genemark-SEQ_1058710-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_4863272-processed-gene-0.0-mRNA-1	genemark-SEQ_1593772-processed-gene-0.2-mRNA-1	maker-SEQ_463578-augustus-gene-0.2-mRNA-1	maker-SEQ_52649-augustus-gene-0.2-mRNA-1	maker-SEQ_3603169-augustus-gene-0.3-mRNA-1
augustus_masked-SEQ_4885-processed-gene-0.0-mRNA-1	maker-SEQ_620909-augustus-gene-0.3-mRNA-1	maker-SEQ_1761287-augustus-gene-0.2-mRNA-1	maker-SEQ_3524559-augustus-gene-0.3-mRNA-1	maker-SEQ_2515731-augustus-gene-0.2-mRNA-1	maker-SEQ_1590979-augustus-gene-0.3-mRNA-1	maker-SEQ_69954-augustus-gene-0.3-mRNA-1	maker-SEQ_1869224-augustus-gene-0.2-mRNA-1	maker-SEQ_1122785-augustus-gene-0.2-mRNA-1	maker-SEQ_1601478-augustus-gene-0.2-mRNA-1	maker-SEQ_3152870-augustus-gene-0.2-mRNA-1	maker-SEQ_1480839-augustus-gene-0.2-mRNA-1	maker-SEQ_3591235-augustus-gene-0.3-mRNA-1
augustus_masked-SEQ_36079-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_615159-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1724313-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3535708-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2566388-processed-gene-0.1-mRNA-1	genemark-SEQ_1609959-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1599744-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_278134-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_2193846-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_464241-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2731234-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1473339-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3609421-processed-gene-0.0-mRNA-1
maker-SEQ_56209-augustus-gene-0.2-mRNA-1	maker-SEQ_608565-augustus-gene-0.31-mRNA-1	maker-SEQ_1742709-augustus-gene-0.2-mRNA-1	maker-SEQ_3507101-augustus-gene-0.2-mRNA-1	genemark-SEQ_2500690-processed-gene-0.0-mRNA-1	maker-SEQ_1603715-augustus-gene-0.2-mRNA-1	maker-SEQ_1596479-augustus-gene-0.2-mRNA-1	maker-SEQ_2533417-augustus-gene-0.2-mRNA-1	maker-SEQ_1720189-augustus-gene-0.2-mRNA-1	maker-SEQ_70910-augustus-gene-0.2-mRNA-1	maker-SEQ_2522080-augustus-gene-0.2-mRNA-1	maker-SEQ_1523712-augustus-gene-0.3-mRNA-1	maker-SEQ_3619578-augustus-gene-0.2-mRNA-1
maker-SEQ_6367-augustus-gene-0.2-mRNA-1	maker-SEQ_618681-augustus-gene-0.17-mRNA-1	maker-SEQ_1728064-augustus-gene-0.5-mRNA-1	augustus_masked-SEQ_16367-processed-gene-0.2-mRNA-1	maker-SEQ_631577-augustus-gene-0.4-mRNA-1	maker-SEQ_1559506-augustus-gene-0.3-mRNA-1	maker-SEQ_1630729-augustus-gene-0.2-mRNA-1	genemark-SEQ_3046438-processed-gene-0.1-mRNA-1	maker-SEQ_605445-augustus-gene-0.2-mRNA-1	maker-SEQ_368550-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_3119293-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1500120-processed-gene-0.1-mRNA-1	genemark-SEQ_3589927-processed-gene-0.1-mRNA-1
augustus_masked-SEQ_55515-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_611968-processed-gene-0.8-mRNA-1	augustus_masked-SEQ_1784485-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_3500470-processed-gene-0.0-mRNA-1	genemark-SEQ_61433-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1603074-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1577921-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1110956-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_4594114-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1626337-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3163503-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1527473-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_2574291-processed-gene-0.0-mRNA-1
maker-SEQ_43800-augustus-gene-0.4-mRNA-1	maker-SEQ_619904-augustus-gene-0.64-mRNA-1	maker-SEQ_1776915-augustus-gene-0.4-mRNA-1	maker-SEQ_3521958-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1047551-processed-gene-0.1-mRNA-1	maker-SEQ_1582826-augustus-gene-0.5-mRNA-1	maker-SEQ_1631713-augustus-gene-0.5-mRNA-1	maker-SEQ_2255523-augustus-gene-0.2-mRNA-1	maker-SEQ_4867034-augustus-gene-0.6-mRNA-1	maker-SEQ_554530-augustus-gene-0.5-mRNA-1	maker-SEQ_3196517-augustus-gene-0.5-mRNA-1	maker-SEQ_1506013-augustus-gene-0.4-mRNA-1	maker-SEQ_3557264-augustus-gene-0.3-mRNA-1
maker-SEQ_43800-augustus-gene-0.5-mRNA-1	maker-SEQ_619904-augustus-gene-0.63-mRNA-1	maker-SEQ_1776915-augustus-gene-0.3-mRNA-1	maker-SEQ_3537202-augustus-gene-0.4-mRNA-1	maker-SEQ_286168-augustus-gene-0.2-mRNA-1	maker-SEQ_1582826-augustus-gene-0.4-mRNA-1	augustus_masked-SEQ_1631713-processed-gene-0.1-mRNA-1	genemark-SEQ_1703616-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_4867034-processed-gene-0.1-mRNA-1	maker-SEQ_554530-augustus-gene-0.6-mRNA-1	maker-SEQ_3196517-augustus-gene-0.6-mRNA-1	maker-SEQ_1506013-augustus-gene-0.5-mRNA-1	maker-SEQ_3591703-augustus-gene-0.4-mRNA-1
genemark-SEQ_53377-processed-gene-0.1-mRNA-1	maker-SEQ_607043-augustus-gene-0.12-mRNA-1	maker-SEQ_1741713-augustus-gene-0.2-mRNA-1	maker-SEQ_3527598-augustus-gene-0.2-mRNA-1	maker-SEQ_2590394-augustus-gene-0.2-mRNA-1	maker-SEQ_1101616-augustus-gene-0.2-mRNA-1	maker-SEQ_1049092-augustus-gene-0.2-mRNA-1	genemark-SEQ_3109055-processed-gene-0.1-mRNA-1	maker-SEQ_1945951-augustus-gene-0.2-mRNA-1	maker-SEQ_1604970-augustus-gene-0.2-mRNA-1	genemark-SEQ_3208789-processed-gene-0.0-mRNA-1	maker-SEQ_1516204-augustus-gene-0.2-mRNA-1	maker-SEQ_3444610-augustus-gene-0.3-mRNA-1
augustus_masked-SEQ_23201-processed-gene-0.0-mRNA-1	genemark-SEQ_620313-processed-gene-0.17-mRNA-1	genemark-SEQ_1723438-processed-gene-0.3-mRNA-1	maker-SEQ_3509437-augustus-gene-0.2-mRNA-1	maker-SEQ_243255-augustus-gene-0.2-mRNA-1	genemark-SEQ_1537034-processed-gene-0.0-mRNA-1	maker-SEQ_1597610-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1030828-processed-gene-0.0-mRNA-1	maker-SEQ_1543122-augustus-gene-0.2-mRNA-1	maker-SEQ_1255656-augustus-gene-0.2-mRNA-1	maker-SEQ_970400-augustus-gene-0.3-mRNA-1	augustus_masked-SEQ_1518274-processed-gene-0.1-mRNA-1	maker-SEQ_3565343-augustus-gene-0.2-mRNA-1
augustus_masked-SEQ_24198-processed-gene-0.0-mRNA-1	maker-SEQ_581817-augustus-gene-0.21-mRNA-1	augustus_masked-SEQ_1766857-processed-gene-0.3-mRNA-1	genemark-SEQ_3527299-processed-gene-0.1-mRNA-1	genemark-SEQ_302947-processed-gene-0.1-mRNA-1	maker-SEQ_1540562-augustus-gene-0.4-mRNA-1	genemark-SEQ_1059197-processed-gene-0.1-mRNA-1	genemark-SEQ_1980345-processed-gene-0.1-mRNA-1	genemark-SEQ_685687-processed-gene-0.1-mRNA-1	maker-SEQ_1648195-augustus-gene-0.3-mRNA-1	maker-SEQ_2001191-augustus-gene-0.3-mRNA-1	maker-SEQ_1487794-augustus-gene-0.2-mRNA-1	genemark-SEQ_138481-processed-gene-0.1-mRNA-1
maker-SEQ_37367-augustus-gene-0.3-mRNA-1	genemark-SEQ_620670-processed-gene-0.22-mRNA-1	maker-SEQ_1751702-augustus-gene-0.2-mRNA-1	maker-SEQ_3488053-augustus-gene-0.2-mRNA-1	maker-SEQ_2587936-augustus-gene-0.2-mRNA-1	maker-SEQ_128679-augustus-gene-0.2-mRNA-1	maker-SEQ_435711-augustus-gene-0.2-mRNA-1	maker-SEQ_3068492-augustus-gene-0.2-mRNA-1	maker-SEQ_3687606-augustus-gene-0.2-mRNA-1	maker-SEQ_1613678-augustus-gene-0.2-mRNA-1	maker-SEQ_1288373-augustus-gene-0.3-mRNA-1	maker-SEQ_1045644-augustus-gene-0.3-mRNA-1	maker-SEQ_2070514-augustus-gene-0.2-mRNA-1
maker-SEQ_46549-augustus-gene-0.3-mRNA-1	maker-SEQ_607869-augustus-gene-0.6-mRNA-1	augustus_masked-SEQ_1766095-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3524589-processed-gene-0.0-mRNA-1	genemark-SEQ_1068254-processed-gene-0.0-mRNA-1	maker-SEQ_1023547-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_1592573-processed-gene-0.2-mRNA-1	maker-SEQ_208063-augustus-gene-0.2-mRNA-1	maker-SEQ_1359330-augustus-gene-0.2-mRNA-1	maker-SEQ_1618659-augustus-gene-0.2-mRNA-1	maker-SEQ_3144980-augustus-gene-0.3-mRNA-1	augustus_masked-SEQ_1488221-processed-gene-0.4-mRNA-1	maker-SEQ_3560704-augustus-gene-0.2-mRNA-1
augustus_masked-SEQ_24721-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_608372-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1767629-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_3523559-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2575840-processed-gene-0.6-mRNA-1	augustus_masked-SEQ_1563824-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1616432-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_800702-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3549096-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1642671-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_3006935-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1528527-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_3602712-processed-gene-0.0-mRNA-1
