# BUSCO version is: 2.0 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /usr/local/igbb/busco_v2/BUSCO.py -i /scratch/thrash/shane.gossypiumD//analysis/assemble/D10-7/D10-7.k115.filtered.fa -o D10-7.k115 -l /scratch/thrash/shane.gossypiumD//analysis/annotation/busco/db/embryophyta_odb9/ -m genome -c 20 --long -t tmp_D10-7.k115 -sp arabidopsis
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG093601Y2	Complete	SEQ_617744	90843	101011	1288.5	873
EOG093601Y6	Complete	SEQ_611046	56	2851	1166.9	791
EOG09360205	Complete	SEQ_607720	17114	22143	898.4	622
EOG0936020C	Complete	SEQ_621859	39534	47082	882.6	571
EOG0936020T	Complete	SEQ_617289	28551	40185	1555.5	806
EOG0936021K	Complete	SEQ_616033	18790	21628	1094.9	733
EOG09360236	Complete	SEQ_594089	23648	30182	926.9	640
EOG0936023S	Complete	SEQ_606261	40445	50354	1463.5	870
EOG0936024P	Complete	SEQ_610185	28299	33056	1327.8	750
EOG0936024U	Complete	SEQ_614283	48840	53384	1069.2	681
EOG09360254	Complete	SEQ_584467	37857	41822	1033.6	690
EOG09360259	Complete	SEQ_621859	40122	42977	864.3	941
EOG0936025H	Complete	SEQ_615787	6114	11811	1235.3	714
EOG0936025L	Complete	SEQ_581502	10076	14376	671.7	551
EOG0936026P	Complete	SEQ_620321	3786	7091	876.8	695
EOG0936026R	Complete	SEQ_619489	13644	25247	782.7	618
EOG0936026Z	Complete	SEQ_616581	245980	251355	924.5	587
EOG0936027I	Missing
EOG0936028K	Complete	SEQ_614077	1137	9081	1105.3	679
EOG0936028O	Complete	SEQ_608691	29889	43569	971.3	656
EOG0936028V	Duplicated	SEQ_585745	1448	11491	882.2	698
EOG0936028V	Duplicated	SEQ_586885	8146	13783	923.0	698
EOG09360296	Complete	SEQ_607613	21794	29899	1550.4	800
EOG093602A0	Duplicated	SEQ_610395	24835	29230	1461.2	752
EOG093602A0	Duplicated	SEQ_620833	57342	61929	1475.1	749
EOG093602C3	Complete	SEQ_613980	6146	8751	991.1	670
EOG093602CL	Complete	SEQ_607448	547	4201	1069.6	860
EOG093602E8	Duplicated	SEQ_592257	1	10333	1040.9	644
EOG093602E8	Duplicated	SEQ_621835	796	7576	1210.1	655
EOG093602EO	Complete	SEQ_619600	56651	65537	1519.9	750
EOG093602EU	Complete	SEQ_601030	43994	51472	1353.7	760
EOG093602F2	Complete	SEQ_601735	8799	11551	1009.0	573
EOG093602FO	Complete	SEQ_616245	72890	75696	1157.0	726
EOG093602GP	Complete	SEQ_622514	31672	42357	1182.5	609
EOG093602H1	Duplicated	SEQ_595873	38446	43860	1389.0	662
EOG093602H1	Duplicated	SEQ_606272	8166	13609	1375.9	662
EOG093602HL	Complete	SEQ_579333	7304	11691	1362.8	663
EOG093602I0	Complete	SEQ_607034	54127	60652	1540.2	830
EOG093602IG	Complete	SEQ_610394	1	3094	808.6	486
EOG093602K0	Duplicated	SEQ_618117	1886	11021	997.2	646
EOG093602K0	Duplicated	SEQ_620856	28288	39187	983.6	670
EOG093602KH	Duplicated	SEQ_596935	42219	46698	1305.4	690
EOG093602KH	Duplicated	SEQ_608803	3736	22496	1137.4	665
EOG093602KV	Complete	SEQ_622726	38313	45409	1075.0	741
EOG093602LT	Complete	SEQ_603016	33757	41819	250.7	535
EOG093602MY	Complete	SEQ_622471	54721	61157	1245.3	642
EOG093602N6	Complete	SEQ_581383	48868	51326	857.6	544
EOG093602O1	Complete	SEQ_587793	14368	31657	856.3	777
EOG093602OJ	Complete	SEQ_619412	57722	61004	891.6	651
EOG093602PW	Complete	SEQ_597003	2899	5931	906.8	630
EOG093602QH	Missing
EOG093602QV	Missing
EOG093602RY	Complete	SEQ_617669	1	4559	1181.1	663
EOG093602S0	Duplicated	SEQ_618825	1095	7801	962.7	565
EOG093602S0	Duplicated	SEQ_619962	36205	42462	1048.2	586
EOG093602SP	Complete	SEQ_589711	25707	32293	973.9	629
EOG093602SW	Complete	SEQ_620415	22868	25712	897.1	622
EOG093602T8	Complete	SEQ_592160	32948	38261	911.8	540
EOG093602TY	Complete	SEQ_601532	7479	15601	1169.5	646
EOG093602U5	Complete	SEQ_621934	2546	5232	1210.1	665
EOG093602UL	Complete	SEQ_615752	9382	11871	1209.2	708
EOG093602V4	Missing
EOG093602VC	Complete	SEQ_607607	51056	54299	1135.2	637
EOG093602VE	Complete	SEQ_615362	1	3941	898.3	563
EOG093602VI	Complete	SEQ_597394	3616	6432	1149.0	646
EOG093602WA	Complete	SEQ_614794	2288	5131	1003.4	671
EOG093602X4	Complete	SEQ_613766	665	5451	854.3	658
EOG093602XV	Complete	SEQ_616505	20758	23344	956.6	614
EOG093602XZ	Complete	SEQ_616505	126605	129317	1122.1	664
EOG093602Y5	Complete	SEQ_605899	5118	13221	1083.5	629
EOG093602Y9	Complete	SEQ_622615	42222	47978	1313.8	640
EOG093602YD	Duplicated	SEQ_568863	3512	7331	1069.2	630
EOG093602YD	Duplicated	SEQ_580470	20280	28211	1057.6	633
EOG093602Z8	Complete	SEQ_612757	1	5411	1109.3	562
EOG093602ZN	Complete	SEQ_600015	8536	13886	955.1	623
EOG09360300	Complete	SEQ_581383	17880	20091	885.6	553
EOG09360317	Duplicated	SEQ_606419	46235	56568	1366.3	641
EOG09360317	Duplicated	SEQ_620734	16723	22683	1349.4	640
EOG0936031D	Fragmented	SEQ_614018	13370	27156	769.9	568
EOG0936031Y	Duplicated	SEQ_572836	226	3568	1246.7	777
EOG0936031Y	Duplicated	SEQ_614843	2215	6032	1276.8	777
EOG0936032C	Complete	SEQ_605811	4	5712	278.2	574
EOG0936032P	Complete	SEQ_599680	8794	11961	1236.7	800
EOG0936033H	Complete	SEQ_600496	12103	14781	893.0	691
EOG0936033V	Complete	SEQ_613616	1	9221	983.5	552
EOG09360353	Complete	SEQ_620764	64127	67347	1169.7	853
EOG09360358	Duplicated	SEQ_582263	847	5911	1011.6	596
EOG09360358	Duplicated	SEQ_618702	13296	20121	1061.9	598
EOG0936035H	Complete	SEQ_615527	51655	54261	929.2	551
EOG0936035T	Complete	SEQ_619775	16141	23264	1299.9	722
EOG0936035U	Duplicated	SEQ_582012	2066	6165	660.1	511
EOG0936035U	Duplicated	SEQ_582013	846	6171	660.1	511
EOG0936035U	Duplicated	SEQ_612244	4326	7984	645.8	514
EOG0936036G	Complete	SEQ_579717	23763	32647	932.3	621
EOG0936036H	Complete	SEQ_608597	30586	39781	1080.2	703
EOG0936036V	Complete	SEQ_616381	9894	15881	1115.4	819
EOG0936037E	Complete	SEQ_608134	7160	10161	929.2	506
EOG0936037T	Complete	SEQ_618574	8716	15200	1027.3	1009
EOG0936037Y	Complete	SEQ_618790	62605	68783	842.4	577
EOG09360383	Complete	SEQ_615382	4384	11121	859.0	610
EOG0936038D	Complete	SEQ_608390	9216	14208	1433.4	661
EOG0936038M	Complete	SEQ_587630	42820	46763	812.4	587
EOG0936038S	Complete	SEQ_622902	64041	70616	1071.8	571
EOG0936038Z	Missing
EOG09360391	Complete	SEQ_616805	15018	23932	986.8	583
EOG09360394	Complete	SEQ_615851	60017	71945	971.0	560
EOG093603DJ	Complete	SEQ_611297	20840	33754	897.7	571
EOG093603DO	Missing
EOG093603EX	Missing
EOG093603F5	Complete	SEQ_618623	87077	94248	1138.5	729
EOG093603FC	Complete	SEQ_612658	411	6841	1173.0	654
EOG093603FG	Complete	SEQ_622742	14452	17644	919.0	608
EOG093603FS	Duplicated	SEQ_617407	156	3654	972.0	632
EOG093603FS	Duplicated	SEQ_622896	96946	100112	974.9	633
EOG093603GP	Complete	SEQ_615375	13858	16326	1149.6	616
EOG093603H7	Complete	SEQ_612006	21329	23878	972.7	602
EOG093603HD	Complete	SEQ_622201	13550	17051	1197.6	604
EOG093603I2	Complete	SEQ_614700	24428	28407	975.5	558
EOG093603IB	Complete	SEQ_586085	18137	26957	956.6	653
EOG093603IM	Complete	SEQ_590310	35969	38326	972.4	631
EOG093603J1	Complete	SEQ_595172	1	4630	1216.4	650
EOG093603J5	Missing
EOG093603JD	Duplicated	SEQ_594165	11983	14731	493.3	593
EOG093603JD	Duplicated	SEQ_606812	36609	39116	561.6	636
EOG093603JD	Duplicated	SEQ_611147	1366	4339	564.7	635
EOG093603K3	Complete	SEQ_615199	4744	9931	1200.1	652
EOG093603K7	Duplicated	SEQ_587912	6499	8241	553.5	360
EOG093603K7	Duplicated	SEQ_604502	2769	5311	553.5	360
EOG093603K7	Duplicated	SEQ_611261	10506	14316	553.5	360
EOG093603K9	Complete	SEQ_621937	9556	19198	1184.0	813
EOG093603KJ	Complete	SEQ_622716	18709	21607	826.7	509
EOG093603LQ	Duplicated	SEQ_616211	65600	72617	840.4	624
EOG093603LQ	Duplicated	SEQ_616561	1016	7047	833.0	685
EOG093603M5	Complete	SEQ_619202	24263	48831	1225.5	612
EOG093603MT	Duplicated	SEQ_622476	43312	50451	1055.6	574
EOG093603MT	Duplicated	SEQ_622540	12436	18571	1010.2	572
EOG093603NH	Complete	SEQ_609654	2217	9291	1153.2	572
EOG093603OJ	Complete	SEQ_615813	19629	31632	663.0	508
EOG093603OL	Complete	SEQ_598230	15133	21728	1275.5	756
EOG093603OR	Missing
EOG093603OV	Complete	SEQ_613386	2550	7041	1039.8	636
EOG093603PK	Complete	SEQ_593477	1464	9275	612.3	500
EOG093603PO	Complete	SEQ_578809	1	4441	1001.1	568
EOG093603PW	Complete	SEQ_622737	15690	24196	949.2	550
EOG093603QH	Complete	SEQ_579119	34340	41591	1173.8	787
EOG093603QQ	Complete	SEQ_582139	216	5687	1118.4	608
EOG093603QT	Complete	SEQ_616138	18972	21216	973.8	570
EOG093603RD	Complete	SEQ_607198	21540	35239	1127.2	611
EOG093603RW	Complete	SEQ_612693	1226	5907	1008.6	688
EOG093603SM	Complete	SEQ_607086	4596	9640	975.9	590
EOG093603SR	Complete	SEQ_614014	4177	9171	959.7	500
EOG093603SX	Duplicated	SEQ_589300	51959	54543	979.7	617
EOG093603SX	Duplicated	SEQ_622395	266	2734	979.7	617
EOG093603SX	Duplicated	SEQ_622395	8986	11462	979.7	617
EOG093603T3	Missing
EOG093603TE	Complete	SEQ_619824	7533	15181	1262.6	910
EOG093603UO	Missing
EOG093603UU	Complete	SEQ_612814	4338	13186	919.6	435
EOG093603UW	Complete	SEQ_617041	11618	18653	595.9	529
EOG093603VH	Complete	SEQ_610898	1	4671	700.0	609
EOG093603VX	Complete	SEQ_613869	12406	15633	818.7	467
EOG093603VZ	Missing
EOG093603W4	Missing
EOG093603W7	Complete	SEQ_618727	19248	24697	1235.5	574
EOG093603WH	Complete	SEQ_605186	42466	45481	992.9	690
EOG093603WZ	Complete	SEQ_586767	9636	13196	961.4	544
EOG093603XJ	Complete	SEQ_614690	31428	36347	581.4	754
EOG093603XO	Duplicated	SEQ_612242	22389	27694	686.0	552
EOG093603XO	Duplicated	SEQ_622773	36603	41716	636.1	540
EOG093603YN	Complete	SEQ_609833	1	4674	784.9	485
EOG093603Z1	Complete	SEQ_622504	20949	37257	1008.4	691
EOG093603ZW	Complete	SEQ_610875	1438	12301	913.4	534
EOG0936040G	Complete	SEQ_601148	20378	24612	1123.3	630
EOG0936041E	Complete	SEQ_607572	2968	6081	804.4	510
EOG0936041M	Complete	SEQ_621404	2048	6917	857.9	573
EOG0936041Q	Missing
EOG0936041Y	Complete	SEQ_582923	1577	5701	1261.3	583
EOG09360424	Complete	SEQ_603867	15939	18396	927.1	608
EOG0936042H	Complete	SEQ_598019	6069	10801	731.4	494
EOG0936042R	Complete	SEQ_598779	10183	12961	1042.8	619
EOG09360439	Fragmented	SEQ_612004	1	2133	577.8	277
EOG0936043P	Complete	SEQ_608084	30216	34688	903.7	548
EOG0936043U	Complete	SEQ_616041	3390	7261	1260.0	553
EOG0936044V	Complete	SEQ_616180	47168	49520	844.6	550
EOG0936045K	Missing
EOG0936046G	Complete	SEQ_614137	13510	16912	973.2	564
EOG0936047E	Complete	SEQ_606794	45021	50518	971.3	483
EOG0936048K	Complete	SEQ_612961	25550	33730	967.9	554
EOG09360490	Complete	SEQ_606605	66254	71466	1124.9	665
EOG0936049L	Complete	SEQ_614874	43347	45889	941.0	567
EOG093604AJ	Complete	SEQ_617624	14016	20598	766.5	538
EOG093604B8	Complete	SEQ_619541	1	4133	1233.0	706
EOG093604BC	Complete	SEQ_595338	5137	8461	1169.1	546
EOG093604C7	Fragmented	SEQ_557931	1106	2365	602.3	373
EOG093604CE	Complete	SEQ_608156	39043	46804	708.9	465
EOG093604D2	Complete	SEQ_622104	35299	38425	1129.1	716
EOG093604D4	Missing
EOG093604D9	Complete	SEQ_616309	48849	68343	836.2	640
EOG093604DG	Complete	SEQ_606919	1916	5367	964.3	630
EOG093604DM	Complete	SEQ_615651	62322	78102	405.7	472
EOG093604F0	Duplicated	SEQ_614724	24079	30130	588.4	362
EOG093604F0	Duplicated	SEQ_614724	30179	38430	674.8	463
EOG093604F6	Complete	SEQ_616264	22847	28516	874.8	592
EOG093604FE	Complete	SEQ_621192	5222	8358	1049.4	600
EOG093604FM	Complete	SEQ_602323	4326	7146	553.1	387
EOG093604HB	Duplicated	SEQ_606004	1	2441	1043.1	532
EOG093604HB	Duplicated	SEQ_614170	1	2521	1042.9	528
EOG093604HD	Complete	SEQ_610793	38757	40826	792.9	492
EOG093604HI	Complete	SEQ_582715	53982	59703	870.7	561
EOG093604HK	Complete	SEQ_597592	6556	9352	812.7	561
EOG093604HV	Missing
EOG093604IO	Complete	SEQ_616641	32012	34344	663.3	450
EOG093604JQ	Missing
EOG093604JS	Complete	SEQ_622814	109209	116466	1127.4	539
EOG093604JV	Fragmented	SEQ_616056	2018	4498	893.6	546
EOG093604K0	Complete	SEQ_622352	14260	20224	635.5	439
EOG093604KN	Fragmented	SEQ_594302	1	1395	456.9	244
EOG093604LD	Complete	SEQ_614413	97083	99879	778.0	769
EOG093604LM	Complete	SEQ_589473	11696	23373	1002.8	688
EOG093604MP	Complete	SEQ_614735	9575	15021	1040.6	514
EOG093604MW	Complete	SEQ_613461	15624	24576	958.8	504
EOG093604MY	Complete	SEQ_616579	19509	25176	864.5	480
EOG093604NO	Complete	SEQ_597009	9026	15374	1142.0	543
EOG093604OT	Fragmented	SEQ_614286	38938	49164	848.8	470
EOG093604P1	Complete	SEQ_589086	59610	70880	737.1	517
EOG093604P6	Complete	SEQ_621637	37804	47188	1051.8	529
EOG093604PT	Complete	SEQ_578599	2006	9232	842.3	533
EOG093604PU	Complete	SEQ_622191	20619	35850	1110.4	541
EOG093604QJ	Complete	SEQ_620551	63547	67550	1098.2	589
EOG093604R2	Complete	SEQ_600821	10055	21929	1129.0	687
EOG093604R6	Complete	SEQ_608565	14038	16742	685.6	451
EOG093604R7	Complete	SEQ_622633	24431	28025	787.9	550
EOG093604RL	Complete	SEQ_622896	48100	53291	619.8	660
EOG093604SP	Complete	SEQ_620626	48065	56118	353.3	613
EOG093604T4	Duplicated	SEQ_595953	6644	9311	1029.6	495
EOG093604T4	Duplicated	SEQ_618266	36771	40866	1041.9	499
EOG093604TP	Complete	SEQ_611559	106	4831	793.7	583
EOG093604TS	Missing
EOG093604U7	Complete	SEQ_607241	19648	24427	852.6	512
EOG093604UF	Complete	SEQ_610421	14949	18598	718.1	505
EOG093604V6	Complete	SEQ_596514	4456	6539	756.5	484
EOG093604VR	Complete	SEQ_620120	4016	9150	290.4	433
EOG093604W6	Complete	SEQ_606151	76700	79263	928.9	524
EOG093604WD	Complete	SEQ_607202	26191	36791	932.8	486
EOG093604WH	Complete	SEQ_612135	5936	8365	970.2	535
EOG093604WU	Complete	SEQ_614629	57383	62498	629.6	512
EOG093604X5	Complete	SEQ_589018	20375	32309	876.4	457
EOG093604XX	Complete	SEQ_597221	5766	14812	675.1	373
EOG093604Y6	Complete	SEQ_611028	3730	7971	997.3	554
EOG093604YC	Complete	SEQ_614638	72117	75944	866.0	488
EOG093604YI	Complete	SEQ_601690	1656	5977	836.2	502
EOG093604YO	Complete	SEQ_622689	41702	46032	974.9	545
EOG093604Z0	Missing
EOG093604ZI	Complete	SEQ_620427	27158	32054	807.4	615
EOG093604ZR	Complete	SEQ_620786	13062	17551	703.2	619
EOG0936051T	Complete	SEQ_595953	8926	18091	889.4	453
EOG09360525	Complete	SEQ_621292	19472	28001	1096.9	491
EOG0936052S	Complete	SEQ_580468	12336	16328	789.9	501
EOG0936053E	Complete	SEQ_610531	5146	8630	725.9	516
EOG0936053F	Complete	SEQ_593814	9266	15084	931.6	535
EOG09360541	Complete	SEQ_611908	27599	30425	1038.2	611
EOG09360548	Fragmented	SEQ_611974	1	3769	366.5	222
EOG0936054G	Complete	SEQ_620193	14423	16599	941.3	531
EOG09360557	Complete	SEQ_617939	5886	13555	922.8	492
EOG09360558	Duplicated	SEQ_620040	148467	163097	145.9	192
EOG09360558	Duplicated	SEQ_622888	87791	95376	148.9	191
EOG0936055I	Complete	SEQ_611169	1	2988	478.4	372
EOG0936055R	Complete	SEQ_618654	8163	13681	636.6	718
EOG0936056C	Duplicated	SEQ_614401	17723	22505	958.4	478
EOG0936056C	Duplicated	SEQ_622917	114868	120681	921.3	447
EOG0936056J	Complete	SEQ_608016	21666	27556	830.0	578
EOG0936057B	Fragmented	SEQ_557465	305	2381	168.5	163
EOG09360595	Complete	SEQ_607112	15941	31546	932.0	637
EOG0936059C	Complete	SEQ_618714	17305	24173	928.8	491
EOG0936059L	Complete	SEQ_619522	11479	31211	615.5	459
EOG093605A0	Complete	SEQ_622609	65746	68094	660.1	458
EOG093605AK	Complete	SEQ_592565	6780	15452	1026.6	511
EOG093605BP	Complete	SEQ_618866	27666	34597	1047.1	677
EOG093605BU	Complete	SEQ_614062	29412	33182	981.8	605
EOG093605C3	Complete	SEQ_607839	1835	4281	933.0	542
EOG093605CQ	Complete	SEQ_608700	8286	10519	735.6	483
EOG093605DD	Complete	SEQ_581347	22586	25729	712.1	459
EOG093605DE	Duplicated	SEQ_584173	2164	10851	802.8	573
EOG093605DE	Duplicated	SEQ_615166	58990	65641	834.7	588
EOG093605DF	Complete	SEQ_617820	77774	82559	691.3	628
EOG093605DG	Missing
EOG093605E3	Complete	SEQ_616080	19541	21661	985.6	560
EOG093605E8	Complete	SEQ_619657	35546	39146	722.3	437
EOG093605E9	Complete	SEQ_595018	20213	35932	634.2	498
EOG093605FL	Complete	SEQ_607815	20076	23563	454.4	386
EOG093605GO	Complete	SEQ_605748	19089	21597	918.0	599
EOG093605I3	Complete	SEQ_620570	8578	11481	894.9	540
EOG093605IQ	Complete	SEQ_616936	112488	117726	921.6	540
EOG093605IT	Complete	SEQ_618485	12846	16044	1070.3	730
EOG093605J6	Complete	SEQ_606257	3166	8278	1032.5	489
EOG093605K4	Fragmented	SEQ_600466	1	10347	334.2	294
EOG093605M5	Complete	SEQ_604741	13064	19445	1044.3	561
EOG093605ME	Complete	SEQ_617002	62256	66023	957.3	527
EOG093605MM	Complete	SEQ_613013	14566	18285	387.0	453
EOG093605MS	Complete	SEQ_619335	25235	31648	719.8	463
EOG093605MY	Complete	SEQ_593999	15655	18171	1045.9	610
EOG093605NL	Complete	SEQ_599641	1186	8599	644.3	397
EOG093605OJ	Complete	SEQ_616579	12446	16593	716.3	535
EOG093605OT	Complete	SEQ_615589	52165	55840	967.4	510
EOG093605PB	Complete	SEQ_617443	8326	10847	868.7	541
EOG093605PH	Duplicated	SEQ_287361	455	2536	475.2	362
EOG093605PH	Duplicated	SEQ_609404	35292	47625	447.7	379
EOG093605PR	Complete	SEQ_607256	11150	22271	422.8	518
